"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Malat1",0,0.623057163562856,0.962,0.808,0
"mmu-mir-6236",0,0.481013795958908,1,1,0
"mt-Rnr1",0,0.31350623159664,1,1,0
"Gm26924",0,0.291855459537348,1,1,0
"mt-Rnr2",0,0.259783652539656,1,1,0
"Trip13",0,-0.267554774477332,0.006,0.145,0
"Esco2",0,-0.294711915159566,0.001,0.139,0
"Aurkb",0,-0.298664712662304,0.004,0.14,0
"Stil",0,-0.299118951286581,0.004,0.141,0
"Kif2c",0,-0.304302313707827,0.004,0.14,0
"Shcbp1",0,-0.304764607810011,0.003,0.146,0
"Gins2",0,-0.304858889580905,0.015,0.172,0
"Cdca5",0,-0.305211440100978,0.005,0.154,0
"Bard1",0,-0.306522274959567,0.009,0.157,0
"Ccnb1",0,-0.3194854923025,0.004,0.147,0
"Ect2",0,-0.320982883450851,0.008,0.151,0
"Foxm1",0,-0.322780469422523,0.006,0.154,0
"Espl1",0,-0.324500039226341,0.004,0.145,0
"Cdca2",0,-0.332243894986563,0.005,0.149,0
"Plk4",0,-0.337004456776782,0.02,0.191,0
"Melk",0,-0.338180615175576,0.01,0.171,0
"Cep55",0,-0.341280314865839,0.004,0.166,0
"Hist1h2ak",0,-0.344722376807547,0.008,0.155,0
"Ccnf",0,-0.347517982685052,0.004,0.153,0
"Actb",0,-0.350219209931203,0.999,1,0
"Spag5",0,-0.355648957497496,0.005,0.164,0
"Atad5",0,-0.361758621330378,0.025,0.198,0
"Nek2",0,-0.366576321005826,0.004,0.165,0
"Pmf1",0,-0.373263591884033,0.038,0.23,0
"Knstrn",0,-0.373505179432809,0.018,0.189,0
"E2f8",0,-0.374299314746901,0.003,0.163,0
"Rfc4",0,-0.374883585513499,0.03,0.221,0
"Bub1",0,-0.374987579540653,0.004,0.173,0
"Wdhd1",0,-0.379795979056194,0.028,0.217,0
"Brca1",0,-0.383580253835025,0.01,0.178,0
"Cdc6",0,-0.383631921820122,0.005,0.17,0
"Diap3",0,-0.38434682972053,0.017,0.19,0
"Dhfr",0,-0.388035113698431,0.017,0.199,0
"Cit",0,-0.389860002691255,0.008,0.174,0
"Kpna2",0,-0.392720272763697,0.018,0.181,0
"Slbp",0,-0.394997953570583,0.054,0.263,0
"Tfdp1",0,-0.396033766051992,0.047,0.25,0
"Mxd3",0,-0.39799995291218,0.003,0.164,0
"Hist1h1a",0,-0.401193131348203,0.01,0.161,0
"Nuf2",0,-0.40245957446465,0.004,0.188,0
"Cdk1",0,-0.404452011815239,0.012,0.19,0
"Tipin",0,-0.405684943153882,0.037,0.246,0
"Rfc5",0,-0.408070295702555,0.037,0.244,0
"Myo1f",0,-0.421850179390233,0.01,0.163,0
"Cdc20",0,-0.423532061889273,0.008,0.17,0
"Tcf19",0,-0.427232868274545,0.018,0.208,0
"Mad2l1",0,-0.427949623693791,0.019,0.226,0
"Prdx4",0,-0.428113661697276,0.049,0.266,0
"Mcm10",0,-0.429305455985085,0.004,0.197,0
"Fbxo5",0,-0.430447038564166,0.024,0.217,0
"Fignl1",0,-0.432028181685773,0.008,0.217,0
"Kntc1",0,-0.436772443514611,0.005,0.193,0
"Ppil1",0,-0.437031459247336,0.067,0.291,0
"Ndc80",0,-0.438623828973669,0.016,0.206,0
"Prim1",0,-0.453821153856314,0.023,0.241,0
"Acot7",0,-0.455034224657082,0.079,0.317,0
"Dlgap5",0,-0.456039811246577,0.016,0.215,0
"Dtl",0,-0.458827702232428,0.012,0.214,0
"C330027C09Rik",0,-0.464542116123163,0.015,0.217,0
"Spc24",0,-0.46533969461298,0.006,0.223,0
"Ckap2l",0,-0.469261388844712,0.004,0.192,0
"Plk1",0,-0.469299334704887,0.005,0.19,0
"Cdca7",0,-0.471447450043801,0.047,0.267,0
"Kif22",0,-0.477581652952493,0.007,0.2,0
"Gmnn",0,-0.480739175982293,0.025,0.255,0
"Rad51",0,-0.481527952148216,0.007,0.221,0
"Ccnb2",0,-0.483524742192465,0.007,0.21,0
"Lrrc59",0,-0.48415778950987,0.077,0.309,0
"Ube2c",0,-0.485179189896153,0.006,0.177,0
"Kif23",0,-0.486085630777569,0.008,0.202,0
"Arhgap11a",0,-0.486942220919158,0.023,0.23,0
"Hist1h2ae",0,-0.491751627565562,0.009,0.195,0
"Hmmr",0,-0.494880604486786,0.002,0.191,0
"Tk1",0,-0.497141912737853,0.016,0.236,0
"2700094K13Rik",0,-0.517635713087539,0.094,0.344,0
"Hist1h2ab",0,-0.524042537726586,0.005,0.195,0
"Kif4",0,-0.525730029922947,0.006,0.214,0
"Bub1b",0,-0.525917139643278,0.01,0.225,0
"Nasp",0,-0.527032796740249,0.096,0.347,0
"Pola1",0,-0.528348889863064,0.033,0.27,0
"Casc5",0,-0.529941708965941,0.007,0.216,0
"Phgdh",0,-0.533978089586379,0.106,0.372,0
"Cdca3",0,-0.540316018861504,0.007,0.227,0
"Irf4",0,-0.540873186726979,0.056,0.267,0
"Clspn",0,-0.545821141511544,0.005,0.228,0
"Pgk1",0,-0.546724367089265,0.132,0.396,0
"Kif20a",0,-0.547563449708939,0.016,0.24,0
"Calm1",0,-0.552021448648947,0.671,0.839,0
"Asf1b",0,-0.55923688074639,0.013,0.263,0
"Pole",0,-0.565130467924634,0.022,0.261,0
"Sept11",0,-0.567517905532899,0.108,0.373,0
"Hist1h3c",0,-0.56756967235757,0.005,0.202,0
"Chaf1a",0,-0.568518205859853,0.017,0.267,0
"Tfrc",0,-0.570830618435957,0.09,0.325,0
"Fen1",0,-0.574241564556657,0.058,0.325,0
"Casp3",0,-0.574954070335559,0.057,0.295,0
"Srsf2",0,-0.580112941983704,0.277,0.57,0
"Prc1",0,-0.584365454246048,0.009,0.214,0
"Txn1",0,-0.586613976578578,0.167,0.451,0
"Psat1",0,-0.587899508184013,0.086,0.368,0
"Rilpl2",0,-0.588132690180081,0.087,0.341,0
"Aspm",0,-0.593814297944461,0.006,0.203,0
"Anp32b",0,-0.59484004783265,0.384,0.649,0
"Fkbp5",0,-0.596307614589284,0.082,0.353,0
"Nusap1",0,-0.600010598266498,0.006,0.211,0
"Hnrnpa2b1",0,-0.60219139150175,0.772,0.899,0
"Tacc3",0,-0.602400275236858,0.018,0.268,0
"Ccr4",0,-0.602963471290319,0.034,0.245,0
"Ncaph",0,-0.603226573672894,0.009,0.257,0
"Prdx1",0,-0.606596723044214,0.19,0.496,0
"Ywhae",0,-0.613778943874007,0.329,0.608,0
"Hsp90ab1",0,-0.617848078248927,0.922,0.961,0
"Ybx3",0,-0.618009749821072,0.124,0.394,0
"Canx",0,-0.619647529058433,0.479,0.739,0
"Kif15",0,-0.622267394155153,0.01,0.263,0
"Srsf1",0,-0.622484269144726,0.245,0.553,0
"Ssrp1",0,-0.627733017985066,0.331,0.618,0
"Tagln2",0,-0.637593633302461,0.141,0.422,0
"Ezh2",0,-0.64389841892961,0.123,0.411,0
"Dek",0,-0.64477878005202,0.214,0.506,0
"Stip1",0,-0.647185720164363,0.294,0.598,0
"Ipo5",0,-0.647336637642821,0.187,0.486,0
"Rangap1",0,-0.647861816563097,0.234,0.534,0
"Gapdh",0,-0.648329990542014,0.355,0.635,0
"Ncapg2",0,-0.65260181970304,0.01,0.281,0
"Dut",0,-0.654433301280966,0.066,0.356,0
"Ncapg",0,-0.656702472508556,0.007,0.266,0
"Topbp1",0,-0.661102423384621,0.151,0.466,0
"Tuba1c",0,-0.663341272789732,0.057,0.306,0
"Tyms",0,-0.664795780457112,0.019,0.295,0
"Eif5a",0,-0.664965522774329,0.442,0.698,0
"Cenpe",0,-0.678923716201725,0.011,0.228,0
"Ranbp1",0,-0.680340668374001,0.141,0.455,0
"Cdca8",0,-0.6804673264423,0.014,0.282,0
"H2afz",0,-0.691102394770815,0.359,0.622,0
"Atad2",0,-0.69873664498964,0.12,0.414,0
"Cenpf",0,-0.704233272264073,0.009,0.222,0
"Hells",0,-0.704275534425072,0.027,0.316,0
"Hspd1",0,-0.7047601859239,0.187,0.457,0
"Lcp1",0,-0.706656374833168,0.812,0.949,0
"Birc5",0,-0.707661494424955,0.011,0.286,0
"Hspa8",0,-0.713786626859659,0.787,0.923,0
"Hsp90b1",0,-0.721431101395118,0.418,0.701,0
"Mcm2",0,-0.723491233020674,0.101,0.411,0
"Hsp90aa1",0,-0.723950449409716,0.344,0.627,0
"Incenp",0,-0.725124477351811,0.054,0.327,0
"Nucks1",0,-0.733973372882724,0.242,0.56,0
"Lgals3",0,-0.73749875867851,0.004,0.16,0
"Racgap1",0,-0.749833807555547,0.029,0.318,0
"Ran",0,-0.753264956545664,0.177,0.515,0
"Pkm",0,-0.753705508966729,0.541,0.792,0
"Anp32e",0,-0.757911410843758,0.252,0.582,0
"Pa2g4",0,-0.766581459559427,0.276,0.589,0
"Smc2",0,-0.781947644628232,0.06,0.378,0
"Ptma",0,-0.788442066381068,0.509,0.77,0
"Tpi1",0,-0.795881177994564,0.112,0.44,0
"Ybx1",0,-0.797457794661546,0.543,0.793,0
"S100a6",0,-0.799723708443045,0.02,0.255,0
"Tmpo",0,-0.800759452224273,0.304,0.61,0
"Cbx5",0,-0.808724741401936,0.114,0.457,0
"2810417H13Rik",0,-0.811396805217041,0.007,0.317,0
"Tpx2",0,-0.812038363499057,0.008,0.282,0
"Mcm7",0,-0.833818721976503,0.108,0.45,0
"Ncapd2",0,-0.838233270258815,0.058,0.377,0
"Maf",0,-0.840627943747892,0.082,0.362,0
"Hnrnpab",0,-0.852936877965919,0.534,0.802,0
"Dnmt1",0,-0.861156946715223,0.221,0.571,0
"Ldha",0,-0.869121902349004,0.536,0.805,0
"Mcm4",0,-0.873889893097642,0.171,0.52,0
"Hist1h1e",0,-0.877519287633957,0.078,0.331,0
"Anxa2",0,-0.890185240312589,0.07,0.315,0
"Tubb4b",0,-0.911201474061485,0.156,0.48,0
"Stmn1",0,-0.918089601249446,0.025,0.37,0
"Whsc1",0,-0.920845975191124,0.096,0.46,0
"Pcna",0,-0.923335188089494,0.184,0.527,0
"Kif11",0,-0.938605200620529,0.01,0.303,0
"Ccna2",0,-0.959856210868996,0.008,0.333,0
"Tuba1b",0,-0.984123802000581,0.18,0.552,0
"Rrm2",0,-1.03853592727476,0.013,0.35,0
"Lig1",0,-1.03928059777013,0.059,0.446,0
"Hist1h1b",0,-1.04497470890628,0.013,0.292,0
"Mcm6",0,-1.07032482226775,0.188,0.592,0
"Hist1h1d",0,-1.08471754483969,0.07,0.327,0
"S100a4",0,-1.0998018372977,0.016,0.264,0
"Mcm5",0,-1.11857319631841,0.097,0.51,0
"Tubb5",0,-1.1273528910721,0.634,0.822,0
"Uhrf1",0,-1.12740744778953,0.027,0.411,0
"Mcm3",0,-1.16423735262647,0.103,0.526,0
"Lmnb1",0,-1.23209231203583,0.107,0.542,0
"Rrm1",0,-1.23424388129302,0.093,0.512,0
"Hmgb2",0,-1.29262666846151,0.121,0.519,0
"Icos",0,-1.29425722596131,0.137,0.512,0
"Lgals1",0,-1.42769806703567,0.298,0.632,0
"Top2a",0,-1.87418732947058,0.057,0.481,0
"Mki67",0,-2.14407440931585,0.053,0.503,0
"Kif14",2.53431865787674e-307,-0.310453525205801,0.004,0.135,3.6641179155582e-303
"Actg1",2.96573844647858e-307,-0.635504383943227,0.475,0.717,4.28786464591873e-303
"Atp5b",5.3000266827113e-304,-0.558850448218029,0.613,0.801,7.662778577864e-300
"Srsf3",7.62610956152179e-304,-0.585869382476352,0.352,0.628,1.10258292040482e-299
"Ckap2",1.66351569454844e-303,-0.290916056996665,0.005,0.137,2.40511099117814e-299
"Prr11",5.52597276115195e-303,-0.302084067560126,0.003,0.13,7.98945141807349e-299
"Nme1",7.11496470973797e-303,-0.601478249103835,0.245,0.525,1.02868159773392e-298
"Tkt",1.07069278213232e-302,-0.578160137712657,0.349,0.627,1.54800762440691e-298
"Sgol1",1.82213769430836e-301,-0.275825851839922,0.005,0.138,2.63444667843103e-297
"Tcp1",2.13809728797095e-301,-0.614661440166975,0.357,0.624,3.0912610589484e-297
"Nap1l1",5.09558062341521e-301,-0.592912269569729,0.256,0.533,7.36719046533372e-297
"Hnrnpu",2.00664665092008e-300,-0.477545200250791,0.724,0.872,2.90120972790025e-296
"Adap1",5.07875879803441e-300,-0.38449513644319,0.029,0.202,7.34286947019814e-296
"Slc25a5",1.72518876276929e-299,-0.575703356929701,0.384,0.652,2.49427791321184e-295
"Cdkn2c",1.6141365937568e-297,-0.329452495010434,0.009,0.149,2.33371868725358e-293
"Azin1",6.74312847924819e-297,-0.502058236112822,0.137,0.396,9.74921515529703e-293
"Ccr2",7.16289996985985e-296,-0.62596505956338,0.004,0.131,1.03561207764234e-291
"Hirip3",8.35088943975331e-296,-0.350057894215188,0.029,0.202,1.20737159519953e-291
"Kpnb1",2.92023617148496e-295,-0.57332916601972,0.463,0.709,4.22207745673296e-291
"Pold1",1.38626657981072e-294,-0.400573440478784,0.057,0.262,2.00426422109034e-290
"Srgn",1.52469666386885e-293,-0.715617445543774,0.4,0.672,2.20440643662158e-289
"Calm3",1.46614046749331e-292,-0.565518482118359,0.301,0.58,2.11974588790182e-288
"Atp2b4",7.54072224338903e-291,-0.470712679829053,0.047,0.24,1.09023762194919e-286
"Set",5.84790503242487e-289,-0.589344951138617,0.448,0.692,8.45490109587988e-285
"E2f1",8.55261336596171e-289,-0.305122037867363,0.008,0.143,1.23653684045074e-284
"Arhgap19",2.75938784172271e-288,-0.269409436796769,0.005,0.131,3.98952294156269e-284
"Rad54l",2.16337478360246e-287,-0.254066393224722,0.005,0.132,3.12780726213244e-283
"Usp1",1.01483853834916e-286,-0.471641391800827,0.126,0.374,1.46725355874522e-282
"Odc1",1.6644857491372e-286,-0.481958774297086,0.082,0.301,2.40651349610257e-282
"Cenpa",1.83539041140808e-284,-0.408180217660085,0.038,0.217,2.6536074568138e-280
"Anln",4.37046890726213e-284,-0.261993146137532,0.003,0.122,6.31882394611959e-280
"Kpna3",1.00583507878787e-282,-0.430085397424409,0.091,0.319,1.45423635691151e-278
"Cdc25b",1.34893547638375e-282,-0.587576882179619,0.067,0.271,1.95029091175562e-278
"Cdc45",9.213308006444e-282,-0.256694954147371,0.007,0.137,1.33206007157167e-277
"Aurka",1.19735912393309e-281,-0.286900007491829,0.006,0.134,1.73114182138247e-277
"Serbp1",1.30790050402171e-281,-0.516746459528686,0.69,0.841,1.89096254871459e-277
"Snx5",1.71859619439449e-281,-0.521703379776222,0.234,0.512,2.48474637785556e-277
"Hist1h2an",2.77288219171975e-280,-0.255836739572362,0.003,0.122,4.00903307278841e-276
"Xpo1",6.52365240654787e-280,-0.546525279831065,0.286,0.559,9.43189664938692e-276
"Hspa5",7.37834460304192e-280,-0.545478504567137,0.629,0.816,1.0667610627078e-275
"Hnrnpa3",1.6901952420228e-279,-0.526608368852107,0.494,0.718,2.44368428091656e-275
"Ehd4",1.39705051976642e-277,-0.337311719649293,0.02,0.171,2.01985564147829e-273
"Shmt1",2.68141430272612e-276,-0.370231900469852,0.023,0.179,3.87678879888143e-272
"Ppia",1.65532740973322e-275,-0.547136886141937,0.343,0.608,2.39327236899228e-271
"Rcc1",3.4830209053704e-275,-0.302097978595415,0.026,0.186,5.03575162498452e-271
"Ercc6l",5.9797643621205e-275,-0.254052515208388,0.008,0.135,8.64554331475382e-271
"Orc6",1.10288687578669e-274,-0.29607483764348,0.023,0.178,1.59455384501239e-270
"Brip1",1.47473498637595e-273,-0.282538177413037,0.007,0.133,2.13217184330235e-269
"Slc43a3",9.70758598188039e-271,-0.300258102129218,0.021,0.171,1.40352278126027e-266
"Calr",1.13553435400349e-270,-0.524060688986168,0.542,0.762,1.64175556901824e-266
"Pold3",4.84488103276404e-270,-0.388831516579917,0.071,0.277,7.00472899717024e-266
"Rbbp7",1.59835844084783e-268,-0.542436937034717,0.3,0.565,2.31090663377779e-264
"Rfc3",2.13968517518801e-268,-0.320583199607441,0.027,0.186,3.09355682628683e-264
"Cmtm7",3.00922243972631e-268,-0.501182198109112,0.108,0.332,4.35073380335631e-264
"Kif20b",1.29212918255108e-265,-0.341956802873915,0.022,0.172,1.86816037213235e-261
"Dnajc9",1.53162527142435e-265,-0.499428083929058,0.179,0.435,2.21442381742532e-261
"Hat1",5.76348089065183e-265,-0.396889333803447,0.073,0.277,8.33284067170442e-261
"Ly6a",3.96563828691541e-264,-0.779380403652939,0.146,0.38,5.7335198352223e-260
"Ncl",3.74292919103555e-262,-0.650270401476507,0.692,0.826,5.41152702439919e-258
"Wdr76",1.82510759503679e-261,-0.338297655163467,0.045,0.222,2.63874056090418e-257
"Hsph1",2.78313082069075e-261,-0.558669673366167,0.181,0.435,4.02385054055469e-257
"Nup62",2.57741153821395e-259,-0.381530061527429,0.074,0.277,3.72642160194973e-255
"Atp5g3",1.43374303166464e-257,-0.51241259189741,0.292,0.556,2.07290567518074e-253
"Prep",2.53634627001592e-257,-0.405636961737624,0.072,0.272,3.66704943718902e-253
"Prdm1",2.90026970964626e-257,-0.347671945181107,0.011,0.139,4.19320994620656e-253
"Pdcd4",7.56582766086669e-257,0.546008059763474,0.708,0.486,1.09386736320811e-252
"Paics",3.08292399373126e-256,-0.512858156236875,0.225,0.484,4.45729151013665e-252
"Blmh",3.06357027755809e-252,-0.446016821475009,0.136,0.372,4.42930990729349e-248
"Hist2h2ac",1.29239815246986e-251,-0.299884925582381,0.015,0.146,1.86854924884093e-247
"Umps",4.89200800001652e-251,-0.420206908825278,0.085,0.291,7.07286516642388e-247
"Dctpp1",3.16361576457683e-250,-0.28718325781912,0.027,0.178,4.57395567242519e-246
"Ak2",3.36736164282614e-250,-0.452207182063904,0.151,0.393,4.86853146319803e-246
"Pdia6",4.0299283711565e-250,-0.503102961381397,0.195,0.448,5.82647043901807e-246
"Chaf1b",6.18891949646807e-250,-0.308418277875436,0.031,0.187,8.94793980799354e-246
"Ddx39",3.55402255189782e-249,-0.439604049180392,0.125,0.354,5.13840580553387e-245
"Rpa2",4.62646253203956e-249,-0.38436485413065,0.07,0.264,6.68893952882279e-245
"Rbbp8",5.42913868923629e-249,-0.278375489646634,0.024,0.17,7.84944871689783e-245
"Hist2h2bb",9.74642658486089e-249,-0.296629393575556,0.014,0.144,1.40913835563919e-244
"Nhp2",2.34634708623287e-248,-0.442222694393173,0.101,0.314,3.39234861727549e-244
"Snrpd1",2.56807489529551e-248,-0.37903737847519,0.084,0.289,3.71292268361825e-244
"Psmd1",9.9181980015911e-248,-0.478393744165394,0.193,0.446,1.43397306707004e-243
"Cdt1",1.56034075924409e-246,-0.319970137917805,0.038,0.201,2.2559406697151e-242
"Tpm4",2.88916629506127e-246,-0.574204534121476,0.309,0.562,4.17715662939958e-242
"Anapc5",3.33247095185482e-246,-0.524866830919991,0.289,0.544,4.81808650219171e-242
"H2afx",4.25038487561608e-246,-0.317872442746939,0.024,0.169,6.14520645316573e-242
"Hnrnpd",8.78409709400493e-246,-0.501273316809591,0.36,0.616,1.27000475785123e-241
"Csrp1",1.12860392337027e-243,-0.433974821095152,0.119,0.344,1.63173555240873e-239
"Naa50",1.57071055244356e-243,-0.459960756380308,0.184,0.432,2.2709333167229e-239
"Acsl5",5.85013416261224e-243,-0.473899324468974,0.209,0.464,8.45812397230478e-239
"Ccne1",6.46956462536778e-243,-0.290574504481354,0.016,0.146,9.35369653535673e-239
"Cxcr3",1.12140004978697e-242,-0.374340193200866,0.023,0.163,1.621320191982e-238
"Rfwd3",1.84903328329758e-241,-0.368108548785069,0.079,0.278,2.67333232099164e-237
"Gm23935",1.98482845839403e-241,0.364741445877011,0.992,0.987,2.86966498514609e-237
"Batf",2.53875449870127e-241,-0.423363150878435,0.089,0.296,3.67053125422229e-237
"Zdhhc2",3.06454650671261e-241,-0.30677693973698,0.031,0.183,4.43072133940509e-237
"Fabp5",4.63473911771228e-241,-0.284549527960848,0.026,0.172,6.70090581638842e-237
"Cdk4",1.50845431305253e-240,-0.518085911629291,0.233,0.483,2.18092324581135e-236
"Haus4",2.30202210270683e-240,-0.263734841800953,0.025,0.168,3.32826355609354e-236
"S100a10",5.25843519892229e-240,-0.723148682222474,0.424,0.642,7.60264561060185e-236
"Ywhah",8.87814311004351e-240,-0.444255258256542,0.183,0.43,1.28360193085009e-235
"M6pr",1.34631011780215e-239,-0.499721422837084,0.26,0.522,1.94649516831835e-235
"Sdf2l1",3.51857504928317e-239,-0.28759144438309,0.029,0.177,5.0871558062536e-235
"Mms22l",4.40978816514478e-239,-0.280977978630803,0.022,0.16,6.37567172916632e-235
"Vars",4.55467583559529e-239,-0.458206532942256,0.245,0.511,6.58515032310367e-235
"Nup205",7.08360612064954e-239,-0.389160234780462,0.107,0.325,1.02414777292351e-234
"Vim",8.54340337218693e-239,-0.803595280924932,0.617,0.76,1.23520525955079e-234
"Hist1h4d",1.9996311654988e-237,-0.472526321730207,0.066,0.246,2.89106673907816e-233
"Ppa1",3.16267448211144e-237,-0.4150390625605,0.111,0.328,4.57259476623671e-233
"D17H6S56E-5",3.22311674980389e-237,-0.505390724127103,0.119,0.336,4.65998219686647e-233
"Smarcc1",9.45580952667181e-237,-0.478867193064935,0.234,0.491,1.36712094136621e-232
"Hmgn2",3.21720042324772e-236,-0.321982617051194,0.055,0.231,4.65142837193156e-232
"Glrx",5.09205150533603e-236,-0.352823385588492,0.029,0.176,7.36208806641483e-232
"Hint1",4.24590975960165e-235,-0.464173478370783,0.244,0.497,6.13873633043207e-231
"Atp5a1",1.16835218562239e-234,-0.448070618210184,0.65,0.805,1.68920358997285e-230
"Ipo7",2.64185772485468e-234,-0.405898549791576,0.128,0.352,3.8195978985949e-230
"Supt16",1.25161802958925e-233,-0.475868081952477,0.292,0.547,1.80958934718014e-229
"Ckap5",1.688978038825e-233,-0.461812165523732,0.123,0.341,2.44192444853318e-229
"P4hb",2.39288883537875e-233,-0.476527640308889,0.3,0.561,3.45963867819059e-229
"Ube2s",3.37107530732378e-233,-0.30373657186415,0.035,0.188,4.87390067932872e-229
"Gspt1",5.32186769676436e-233,-0.484900745479947,0.241,0.494,7.69435631598191e-229
"Cfl1",1.44563542180281e-232,-0.400679755290873,0.765,0.883,2.0900996928425e-228
"Hdgf",1.95823920818223e-232,-0.452590050892563,0.2,0.446,2.83122224718987e-228
"Brca2",3.31358382353389e-232,-0.274800809393467,0.017,0.146,4.79077949206529e-228
"Banf1",4.61406208315745e-232,-0.412997782818101,0.149,0.382,6.67101095982904e-228
"Tigit",1.21776063314038e-231,-0.418208600455704,0.027,0.168,1.76063832339436e-227
"Alyref",3.54552958847337e-230,-0.374448180593718,0.106,0.317,5.12612667901479e-226
"Cdv3",4.72190329357723e-230,-0.416744449575066,0.124,0.343,6.82692778185396e-226
"Cct6a",6.73752060402932e-230,-0.523532901105729,0.216,0.456,9.74110728930559e-226
"Srsf7",5.17112384407185e-229,-0.413555071784013,0.166,0.404,7.47641085375908e-225
"Cpd",7.51433486358803e-229,-0.344998355863187,0.047,0.211,1.08642253457756e-224
"Fus",1.76158053747179e-228,-0.467657257520197,0.418,0.66,2.54689314107672e-224
"Syncrip",2.70933652262821e-227,-0.460887719196902,0.257,0.51,3.91715874441586e-223
"G3bp1",4.39732476981187e-227,-0.489239273215239,0.334,0.586,6.357652152194e-223
"Aebp2",1.51712054372483e-226,-0.465593984309066,0.232,0.486,2.19345288211736e-222
"Etf1",7.24780480249224e-226,-0.488579868921726,0.262,0.509,1.04788761834433e-221
"Sae1",1.17041295143685e-225,-0.435784014919346,0.165,0.398,1.6921830451874e-221
"Eif2s1",2.40240447526176e-225,-0.420858615075838,0.155,0.385,3.47339639033345e-221
"Map2k3",4.27971038305623e-224,-0.327255766583664,0.048,0.211,6.1876052718227e-220
"Hspa4",2.07434823333388e-223,-0.476446705587496,0.33,0.584,2.99909267575412e-219
"Cct2",3.71183809864736e-223,-0.460443488664021,0.539,0.743,5.36657552302435e-219
"Ttf2",4.83677678719661e-223,-0.307637154211317,0.048,0.212,6.99301187892885e-219
"Ighm",4.21548080076285e-222,-0.652923341727868,0.312,0.547,6.09474214174293e-218
"Mapk6",6.71918235159643e-222,-0.354709336724625,0.072,0.255,9.71459384393812e-218
"Eif3b",7.27777068887169e-222,-0.527613916112306,0.37,0.605,1.05222008619707e-217
"Mthfd1",4.16791140134001e-221,-0.433556404270473,0.103,0.304,6.02596630405739e-217
"Mif",6.90381688439251e-221,-0.452972950287905,0.151,0.373,9.98153845145469e-217
"Eri1",9.87115249072008e-221,-0.374183178870096,0.12,0.336,1.42717122710831e-216
"Ncaph2",1.43702547518839e-219,-0.451732629651741,0.223,0.466,2.07765143202738e-215
"Aldoa",1.81481012130788e-219,-0.547056972094187,0.336,0.571,2.62385247338694e-215
"Dbf4",6.51992110346093e-219,-0.28530894370998,0.039,0.191,9.42650193138382e-215
"Timeless",3.24504762329393e-218,-0.325558277863549,0.055,0.222,4.69168985375837e-214
"Cox5a",7.36586325145295e-218,-0.379492112416311,0.151,0.379,1.06495650889507e-213
"Ddx1",1.93557772794151e-217,-0.394079284379303,0.139,0.358,2.79845827905784e-213
"Eif4a1",1.98528005799022e-217,-0.494389704763484,0.431,0.659,2.87031790784227e-213
"Tjp2",6.03045576936807e-217,-0.260910017571064,0.018,0.141,8.71883295135236e-213
"Arl5a",8.33662723884722e-217,-0.584007088127509,0.166,0.388,1.20530956619253e-212
"Snrpa1",2.30469391607473e-216,-0.352729387490166,0.094,0.29,3.33212646386084e-212
"Rpn1",5.01809836314439e-216,-0.401597803980039,0.171,0.403,7.25516661343415e-212
"Nudc",1.18844195625283e-215,-0.403833861866944,0.142,0.362,1.71824938035034e-211
"Tnfrsf1b",1.56957253017933e-214,-0.544619511694283,0.222,0.461,2.26928796413327e-210
"Ppm1g",3.44970266414243e-214,-0.446528147680545,0.27,0.516,4.98758011181713e-210
"Parp1",6.1898549065821e-214,-0.45577447961834,0.233,0.473,8.9492922239364e-210
"Lbr",8.00644976874431e-214,-0.514647153156018,0.295,0.527,1.15757250756505e-209
"Mrpl18",8.07119279863169e-214,-0.3645068392077,0.117,0.326,1.16693305482617e-209
